EN	RUS	ID
Ai Ganjing	Ай Ганьцзин	0509101858fded56;488cf26092f86c3d;6bc09145a72e96af;c145a49183d9c00a;eb0f3ebb776c8191
Ai Mei	Ай Мэй	0a99a07ca3b0e74f;0ace16a6b109105e;0cdaf786d3dd57bf;126af6147f9153a1;1f203851530b6cf0;282d1b0f537286f4;39c9aee9753ade39;3fb416e5da5c0bdd;585f28f77b278678;59c789220ac9903a;6bd3e98363b13af5;71bdcc6df4106ad4;a2de7a38fe1d4498;dd8ffd9deeaabd11;eac2d18d3608338f
Ai Mu	Ай Му	0ace16a6b109105e;0cdaf786d3dd57bf;126af6147f9153a1;1dd6e2c094a90eb7;1f203851530b6cf0;282d1b0f537286f4;39c9aee9753ade39;3fb416e5da5c0bdd;585f28f77b278678;6c69ba984498fd3b;71bdcc6df4106ad4;724548f0dd2ab8de;8d4f63781ae24d4f;a7087fd88a523c41;c63f84bd062bba64;eac2d18d3608338f
An unworldly villager	Простой деревенский житель	00fca437e108934a;02869f41ef326cfa;05338e0496713362;057041ef66e00e68;06081cadf375183d;10eee6afa6e3a83b;18693f4cb1befea9;1f7af1a1c2150b61;20c6fd5cc0e0f98f;22fca942bbb806c1;24ba315f43a25a71;25d865343faacdd4;27227212e6a446d4;287a5b299fa921f6;2b530388898225e8;30f371e38b4d6a53;370753c8df68e641;3f073a6e412a0334;406937e3e748bf6a;41653491795f400a;44e31de17e9b4e58;45e1e8efaa493757;4b3039ec04dddd1f;4be772ca8e93f30a;4e1d8c02b8f91298;5a26986c420da259;5bd0c6045a1dcdf4;63cdc1a4bfac078f;6f2a612894d64cc4;75eaae8d7d5bb1d0;77a106394c272c2d;78393de7c90dc99a;86e82b076aa81ddf;89a42b6a6c04b661;8cac8eaa80a88ddf;8de011a39aaac1c5;8eff5c00e488e4ac;9489625f9abe1f84;a15693a014873e0d;a26ac26796e77b33;a3985dc175d91ee1;a6f5170fa0e8f70b;aca6d86361e96c6f;b41d7a7f42cb56c4;b690d99cd667b0e6;b784bd0651d89f56;bd140f720d7f8eb3;be6c927f04eabc7b;c0b4112c852a7ebd;c15bd6458926660b;c43d2cf3593fefad;c98c3ad6d83e3e78;c9eb2911513e60bf;ccba8958f311e1a5;d7a784480d5143ef;dda25872590e4138;e07d326d22553edc;e2b68ac52833f29c;e39cc9fdd352508f;e8340d7a2ea98c73;ea3471535ab1f155;eae17bc4837e95fb;eb6eea600cddedd4;f27809dc14997e2d;f421d14536726233;f9218d71eb65e854;fc7e73dacbe2b411;fe14e38a9e7b77f8
Aunt Guo	Тётя Го	1055927aa7f84092;6992800cd204d6d2;83952bf53ded05b6;ae38ffe592f661f5;d7558b1a5894101f;e1f00dad349cc84f;f7895c70d1d9c407
Aunt Lan	Тётя Лань	657a436fc32e150d;e0a084e4efae4d81;e4b1f7a457719f2f;e70d99051fa6d9cf
Aunt Ling	Тётя Лин	08cfd198ad616e61;5bd851979e9d5689
Aunt Liu	Тетя Лю	1b6b381fe32d5267;4c32518d7d78ca80;5ea7d95dca746915;60c8cf023946ff2b;64a17377e5c2ecc0;713ee8d6c97c0032;8b3f48de1f2cb3c0;91ba75928dd48f3e;ad6443f5e90d9b52;b8262bf96f1128d6;bddf34c54f92fefd;c9a883384d79fd38;ca1a92c34174e835;d4c7f4aa57c02e17;e50f805bf2b79adf;e568a9e0fb208daa;e78e078a08df3a70;ecbf9f551981c24f;f086da2cef14bf8a
Aunt Ni	Тётя Ни	48e43e7c6ee19a8d;5417a5f9a146eb02;59bd115784812906;797026be7f6a63a2
Aunt Zhou	Тетя Чжоу	0feffe7ebf9f274e;22185a9897ae77e6;2e850e63d3963473;67c4c97beb957b3e;9333012dcdc5ec0c;93db16d9ebe4d656;97438f5aea31ad51;a66c5540a83b3ea6;e39d34f4ba515114;e556cf2e71890b93;e8660b3ae819f168;e86b74e21f4bb412;f7f2d77f845c736e;f80162540691c85e
